Article ID,Title,Index,Date,Full Article Link
1,Adam Pearson Will Play Joseph Merrick in New Adaptation of ‘The Elehpant Man’ from A24,"In 1977, Bernard Pomerance wrote the play The Elephant Man, which became a massive hit. The play about the life of Joseph Merrick, a severely disfigured man whose life is still a fascinating mystery, became a massive hit and showed us just how we, as a society, can fail when it comes to those who are the most vulnerable.",5/1/2025,https://www.comicbasics.com/adam-pearson-will-play-joseph-merrick-in-new-adaptation-of-the-elehpant-man-from-a24/
2,Chris Hemsworth to Star in Amazon MGM Deep Sea Thriller ‘Subversion’,"Chris Hemsworth is set to star in the Amazon MGM deep sea thriller “Subversion,” which will be produced by Lorenzo di Bonaventura.",4/30/2025,https://www.thewrap.com/chris-hemsworth-amazon-mgm-subversion/
3,Guy Ritchie to Direct ‘Road House 2’ With Jake Gyllenhaal,Guy Ritchie will direct the sequel to “Road House” with Jake Gyllenhaal set to reprise his lead role as ex-UFC fighter Dalton.,4/30/2025,https://variety.com/2025/film/news/road-house-2-guy-ritchie-direct-jake-gyllenhaal-1236360265/
4,"‘Shogun’ Season 2 to Begin Production in January 2026, Hiroyuki Sanada and Cosmo Jarvis Returning","“Shōgun” is officially coming back for Season 2 at FX, with the second season of the hit historical drama set to begin production in January 2026 in Vancouver.",4/30/2025,https://variety.com/2025/tv/news/shogun-season-2-hiroyuki-sanada-cosmo-jarvis-returning-1236382233/
5,"CBS on Track for 17th Consecutive Season as Most-Watched Network, Averaging Nearly 5 Million Primetime Viewers",CBS is on track for a record-breaking 17th consecutive season of being the most-watched broadcast network.,4/29/2025,https://www.thewrap.com/cbs-ratings-most-watched-network-primetime-viewers/
6,"Sarah Michelle Gellar Says Chloé Zhao’s Passion for ‘Buffy’ Changed Her Mind About a Reboot: ‘Ok, There’s a Reason’",Sarah Michelle Gellar is detailing how Academy Award winner Chloé Zhao changed her mind about a “Buffy the Vampire Slayer” reboot.,5/1/2025,https://www.indiewire.com/news/general-news/sarah-michelle-gellar-chloe-zhao-changed-mind-buffy-reboot-1235119630/
7,Willem Dafoe to Star in Dark Comedy ‘The Souffleur’ From Rising Helmer Gastón Solnicki; Magnify Boards for Worldwide Sales (Exclusive),"Willem Dafoe has signed on to star in “The Souffleur,” an English-language dark comedy directed by rising Argentinian director Gastón Solnicki. Magnify has boarded worldwide sales (excluding Austria) ahead of the Cannes Film Market. Variety has been given exclusive access to a first-look image for the film (below), which is currently in post-production.",5/1/2025,https://variety.com/2025/film/global/willem-dafoe-the-souffleur-magnify-1236383477/
8,"DC’s ‘Sgt. Rock’ Movie, From Luca Guadagnino, No Longer in Development",DC Studios’ “Sgt. Rock” is going on leave — but it may not be permanent.,4/30/2025,https://variety.com/2025/film/news/sgt-rock-luca-guadagnino-dc-studios-not-in-development-1236382859/
9,"Box Office: Chris Hemsworth, Halle Berry’s ‘Crime 101′ Lands Presidents’ Day Weekend 2026 Release (Exclusive)",Chris Hemsworth and Halle Berry‘s heist movie Crime 101 has landed a high-profile release date in theaters.,5/1/2025,https://www.hollywoodreporter.com/movies/movie-news/chris-hemsworth-halle-berry-crime-101-2026-release-1236204739/
10,Takashi Miike starts filming Bad Lieutenant: Tokyo this month,"Takashi Miike, the Japanese director behind films such as Audition and Ichi the Killer, has lined up his next picture, Bad Lieutenant: Tokyo, which will offer an international twist on the series that first caused controversy back in 1992 via Abel Ferrara and Harvey Keitel.",5/1/2025,https://www.joblo.com/takashi-miike-bad-lieutenant-tokyo/
11,"Lily James to Lead Thriller ‘Photo Booth’ for ‘Walk the Line,’ ‘Girl Interrupted’ Producer Cathy Konrad","Lily James is set to star in and produce “Photo Booth,” the directorial feature debut of Australian sibling filmmakers Spencer and Lloyd Harvey.",5/1/2025,https://variety.com/2025/film/global/lily-james-emotional-thriller-photo-booth-1236383531/
12,‘The View’ Lands First Post-White House Interview With Joe and Jill Biden,Former President Joe Biden and first lady Dr. Jill Biden will sit for their first TV interview since leaving the White House on The View.,5/1/2025,https://www.hollywoodreporter.com/tv/tv-news/joe-jill-biden-the-view-interview-1236205157/
13,"Ariana Grande, Cynthia Erivo, Chappell Roan to Guest Judge ‘RuPaul’s Drag Race All Stars 10’",The cast of “RuPaul’s Drag Race All Stars” Season 10 was already stacked — but the new list of guest judges is downright star-studded.,5/1/2025,https://www.thewrap.com/rupauls-drag-race-all-stars-10-guest-judges-ariana-grande-cynthia-erivo/
14,Embattled ’60 Minutes’ Kamala Harris Interview Among Nominees for 2025 News and Doc Emmys,"CBS’ long-running “60 Minutes” has been nominated for 13 News & Documentary Emmy Awards, which the National Academy of Television Arts & Sciences announced on Thursday.",5/1/2025,https://www.thewrap.com/60-minutes-kamala-harris-news-and-documentary-emmys-nominees/
15,Ad-Supported Platforms Account for 72.4% of TV Viewing in First Quarter of 2025,"Nielsen has expanded its TV viewership measurement reports for broadcast, cable and streaming with the launch of the Ad-Supported Gauge.",5/1/2025,https://www.thewrap.com/nielsen-ad-supported-gauge-q1-2025/
