Date,Title,Genres,Stars
"May 02, 2025",Thunderbolts*,"Action, Adventure, Crime","Florence Pugh, Sebastian Stan, Julia Louis-Dreyfus, Lewis Pullman"
"May 02, 2025",Locked,Thriller,"Bill Skarsgård, Anthony Hopkins, Ashley Cartwright, Michael Eklund"
"May 02, 2025",Nezha: Mo tong nao hai,"Animation, Action, Adventure","Yanting Lü, Mo Han, Hao Chen, Gong Geer"
"May 02, 2025",June and John,"Romance, Thriller","Matilda Price, Luke Stanton Eddy, Ryan Shoos, Dean Testerman"
"May 02, 2025",Monsieur Aznavour,"Biography, Drama, Music","Tahar Rahim, Bastien Bouillon, Marie-Julie Baup, Camille Moutawakil"
"May 02, 2025",Hysteria,"Drama, Thriller","Devrim Lingnau, Mehdi Meskar, Serkan Kaya, Nicolette Krebitz"
"May 02, 2025",Ölü Mevsim,Drama,"Funda Eryigit, Ece Yasar, Erdem Senocak, Serkan Ercan"
"May 02, 2025",The Glory of Life,"Drama, Romance","Henriette Confurius, Sabin Tambrea, Manuel Rubey, Daniela Golpashin"
"May 02, 2025",Köstebekgiller: Ata Tohumu Muhafizlari,Family,"Beren Gökyildiz, Pelin Akil, Mehmet Aybars Kaya, Jennifer Boyner"
"May 02, 2025",Asagi Mahalle,Comedy,"Soner Türker, Abidin Yerebakan, Caner Atacan, Izzet Çivril"
"May 02, 2025",Cahim,Horror,"A. Murat Özgen, Asli Bankoglu, Miray Arikan Aydin, Seda Sönmez"
"May 09, 2025",Popeye the Slayer Man,Horror,"Jason Robert Stephens, Angela Relucio, Sarah Nicklin, Elena Juliano"
"May 09, 2025",Kaçak Fil,"Animation, Action, Adventure","Jason Sudeikis, Lilly Singh, Rainn Wilson, Anitta"
"May 09, 2025",Saint-Ex,"Adventure, Biography, Drama","Louis Garrel, Vincent Cassel, Diane Kruger, Benoît Magimel"
"May 09, 2025",Tehlikeli Miras 3,"Action, Adventure, Drama","Tomer Sisley, Narayan David Hecter, Paibool Poolsuk, Supachai Girdsuwan"
"May 16, 2025",Son Durak: Kan Bağı,Horror,"Tony Todd, Brec Bassinger, April Telek, Richard Harmon"
"May 16, 2025",Hurry Up Tomorrow,Thriller,"The Weeknd, Jenna Ortega, Barry Keoghan, Riley Keough"
"May 16, 2025",Riff Raff,"Comedy, Crime","Jennifer Coolidge, Ed Harris, Gabrielle Union, Miles J. Harvey"
"May 16, 2025",Little Emma,"Animation, Adventure, Family","Natalie Grace, Travis Cloer, Niko Gerentes, Amy Margolis"
"May 16, 2025",Gülizar,Drama,"Bekir Behrem, Asli Içözü, Ernest Malazogu, Ecem Uzun"
